node_id,date,edge_list,latitude,longitude,temperature_max,temperature_min,temperature_mean,precipitation_sum,snowfall_sum,relative_humidity_max,relative_humidity_min,dewpoint_max,dewpoint_min
123,2025-01-07 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,-4.624,-8.374,-6.76775,0.5,0.28,79,57,-8.167934,-13.360996
123,2025-01-08 05:00:00+00:00,"[8, 3, 61, 126]",42.9634244,-78.7839861,-7.224,-10.274,-8.438582,0,0,74,54,-12.640934,-15.802862
137,2025-01-01 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,5.5565,-0.0435,2.2565002,3.8,0.98,99,74,4.471301,-3.0413544
137,2025-01-02 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,0.4065,-2.8935,-0.77475,0.5,0.21000001,88,60,-1.8915071,-8.556418
137,2025-01-03 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,-1.0435,-4.0935,-2.4643333,0,0,80,55,-5.177805,-9.416169
137,2025-01-04 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,-3.2935,-5.8435,-4.7185,0,0,74,55,-8.137328,-12.835148
137,2025-01-05 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,-2.3435,-6.7435,-4.7185,0,0,75,57,-7.835352,-13.259844
137,2025-01-06 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,-4.1435003,-8.6935,-6.456001,0,0,90,69,-6.3292646,-12.589533
137,2025-01-07 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,-4.0435004,-7.6935,-6.078916,0,0,76,55,-9.0913315,-13.303569
137,2025-01-08 05:00:00+00:00,"[144, 9, 4]",42.94940742,-78.70276691,-6.3435,-9.393499,-7.7289166,0,0,72,53,-12.329495,-15.758055
6,2025-01-01 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,5.3065,0.056500003,2.2710836,2.8999999,0.21000001,96,71,4.421045,-2.88603
6,2025-01-02 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,0.4065,-3.0935,-0.71849996,0.5,0.21000001,88,57,-1.8422241,-8.455785
6,2025-01-03 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,-0.6935,-3.9435,-2.4768333,0.2,0.14,78,57,-5.416959,-9.683071
6,2025-01-04 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,-2.9435,-5.9935,-4.8018336,0,0,73,57,-7.926148,-13.003715
6,2025-01-05 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,-2.1935,-7.1435003,-5.047666,0,0,74,57,-9.132135,-12.954533
6,2025-01-06 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,-4.0435004,-9.1935,-6.7622504,0.1,0.07,90,70,-6.3292646,-13.196402
6,2025-01-07 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,-4.0435004,-8.143499,-6.428917,0.5,0.28,81,60,-8.035821,-13.194282
6,2025-01-08 05:00:00+00:00,"[91, 99, 5, 38]",42.9944463,-78.92980711,-6.9435,-10.5435,-8.3914175,0,0,73,55,-11.543464,-16.04202
43,2025-01-01 05:00:00+00:00,"[5, 93]",42.98051005,-78.90256829,5.3325,0.1325,2.3137498,2.6,0.35,97,72,4.596003,-2.8121328
43,2025-01-02 05:00:00+00:00,"[5, 93]",42.98051005,-78.90256829,0.3825,-2.9175,-0.68208337,0.3,0.14,88,59,-1.7673146,-8.1419115
